,accuracy,precision,recall,f1_score,roc_auc,cv_f1_mean,cv_f1_std
LogisticRegression,0.5874769797421732,0.6393813655224444,0.529191383078364,0.579091219678852,0.6168142794830208,0.582535533471666,0.0064565067308764695
RandomForest,0.6927841955466265,0.7020082693443591,0.7421167655323134,0.7215055395355896,0.7276444916825493,0.7176601621561502,0.006293688303271851
XGBoost,0.692281935375858,0.7124183006535948,0.7146425226350297,0.7135286783042394,0.7318945686072738,0.7112060315459419,0.004570632261850865
